	Rank	Player Name	Accuracy	Play Count	pp	SS count	S count	A count
78	84	 Astrea	99.72	75,753 (lv.101)	11,937pp	278	1343	153
79	205	 Taishi-	99.88	89,471 (lv.102)	9,987pp	918	2174	151
80	82	 MakoXTsuyoshi	99.48	126,473 (lv.101)	12,013pp	117	749	150
81	80	 blacklotus	99.60	86,982 (lv.101)	12,051pp	689	2102	149
82	41	 daxeroz	99.65	72,682 (lv.101)	13,348pp	468	1742	148
83	202	 YumeK	99.90	116,084 (lv.103)	9,999pp	12683	3261	148
84	152	 Zyonii	99.57	60,167 (lv.101)	10,577pp	124	737	147
85	175	 Len	99.81	89,439 (lv.101)	10,314pp	1435	2291	145
86	10	 Karym	99.94	69,738 (lv.102)	16,161pp	341	1119	144
87	86	 R-18	99.74	40,022 (lv.101)	11,855pp	271	1268	143
88	250	 Noctalium	99.88	28,594 (lv.100)	9,502pp	1095	716	142
89	150	 KagamineRin	99.63	98,565 (lv.102)	10,584pp	417	1388	141
90	241	 Katch	99.67	80,595 (lv.102)	9,615pp	435	1682	141
91	166	 Boltico	99.85	66,006 (lv.101)	10,414pp	414	1209	140
92	110	 Kosmit	99.88	182,952 (lv.105)	11,523pp	4751	5554	139
93	14	 [224]Hyperw7	99.75	98,968 (lv.104)	15,823pp	582	1930	138
94	236	 T o u k o	99.78	39,404 (lv.100)	9,632pp	570	2467	138
95	11	 Secre	99.87	93,022 (lv.103)	16,110pp	710	1733	137
96	36	 Vinci007	99.78	184,247 (lv.105)	13,599pp	483	2354	137
97	127	 Cameragod	99.85	170,095 (lv.104)	10,995pp	3919	2062	137
98	114	 ThanaR	99.79	92,255 (lv.102)	11,487pp	589	1266	134
99	141	 [_-Kukkai-_]	99.85	61,218 (lv.102)	10,766pp	412	1141	131
100	56	 zerokt	99.83	24,522 (lv.100)	12,543pp	165	489	130
101	61	 Boros	99.76	108,793 (lv.103)	12,481pp	913	4667	130
102	147	 Crystallize	99.78	87,162 (lv.102)	10,652pp	645	2475	130
103	249	 syu	99.74	139,770 (lv.106)	9,502pp	11543	7490	130
104	229	 mothernature	99.64	106,992 (lv.103)	9,736pp	409	890	127
105	164	 -[SLs]-Horikita	99.81	23,631 (lv.100)	10,431pp	166	898	126
106	222	 wordmaster	99.82	147,664 (lv.101)	9,798pp	3197	770	124
107	107	 BoberOfDarkness	99.88	121,335 (lv.102)	11,551pp	1407	1868	123
108	182	 SimplyHai	99.77	32,098 (lv.100)	10,231pp	256	1338	123
109	55	 Hanik	99.85	54,602 (lv.102)	12,638pp	573	2099	122
110	161	 Verti	99.57	55,870 (lv.100)	10,450pp	280	1022	121
111	73	 Rougoku	99.67	43,509 (lv.100)	12,261pp	1618	893	120
112	39	 fuhie	99.63	33,946 (lv.101)	13,497pp	163	696	119
113	125	 Close	99.64	41,258 (lv.101)	11,061pp	261	999	118
114	217	 dazzulay	99.69	22,555 (lv.101)	9,842pp	338	3030	117
115	244	 salchow	99.79	15,349 (lv.100)	9,563pp	97	665	116
116	239	 joxa12	99.79	61,305 (lv.101)	9,619pp	1069	1460	115
117	143	 Chroneko	99.74	30,957 (lv.100)	10,744pp	142	754	114
118	170	 Endo	99.73	112,264 (lv.104)	10,343pp	709	2560	114
119	118	 Latifah-sama	99.86	91,957 (lv.103)	11,296pp	2865	1759	112
120	225	 CheungB	99.75	66,086 (lv.101)	9,777pp	472	2077	112
121	12	 rostld	99.95	190,968 (lv.107)	16,033pp	10272	1401	111
122	87	 Beerus	99.86	74,093 (lv.101)	11,845pp	1553	790	111
123	29	 -Electro-	99.96	32,486 (lv.101)	14,053pp	1957	701	110
124	96	 Chatie	99.88	93,886 (lv.101)	11,709pp	1495	1900	109
125	173	 [Aless50]	99.80	43,075 (lv.101)	10,335pp	1499	1028	109
126	3	 Bunnrei	99.87	129,243 (lv.105)	17,511pp	815	1560	108
127	81	 SHK	99.70	164,581 (lv.105)	12,032pp	732	1998	106
128	32	 Roido	99.85	81,429 (lv.101)	13,829pp	445	1105	104
